Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2428,809,L0994,809,809,10,-5.31832113541707E+0001,-5.31832113541707E+0001,*,L1607,809,809,25,-1.45173710127487E+0002,-1.45173710127487E+0002,*,809,34,-1.92196596440339E+0002,-1.92196596440339E+0002,-,
L2428,809,L0886,809,809,30,-1.64976373155580E+0002, 0.00000000000000E+0000,,L0994,809,809,10,-5.31832113541707E+0001,-5.31832113541707E+0001,*,809,39,-2.14491429144928E+0002, 0.00000000000000E+0000,,
L2578,809,L0913,809,809,28,-1.54493886488603E+0002, 0.00000000000000E+0000,,L0994,809,809,13,-7.23432948256051E+0001,-7.23432948256051E+0001,*,809,41,-2.27207928413559E+0002,-2.27207928413559E+0002,-,
L2578,809,L0886,809,809,26,-1.41045987113584E+0002,-1.41045987113584E+0002,*,L0994,809,809,13,-7.23432948256051E+0001,-7.23432948256051E+0001,*,809,43,-2.39135397260200E+0002, 0.00000000000000E+0000,,
L2579,809,L0994,809,809,4,-1.85488828422232E+0001,-1.85488828422232E+0001,*,L2572,809,809,0, 1.20104361008926E+0002, 1.20104361008926E+0002,*,809,8, 7.40750842120012E+0001, 7.40750842120012E+0001,*,
L2579,809,L2512,809,809,13,-6.20850014556609E+0001, 0.00000000000000E+0000,,L2572,809,809,0, 1.20104361008926E+0002, 1.20104361008926E+0002,*,809,21, 1.62560317960703E+0001, 0.00000000000000E+0000,,
L2580,808,L0886,809,808,27,-1.39672121876632E+0002,-1.39672121876632E+0002,*,L0994,809,808,7,-3.73195968151220E+0001,-3.73195968151220E+0001,*,808,35,-1.83938162852203E+0002,-1.83938162852203E+0002,-,
L2580,808,L0984,807,806,30,-1.53025991486789E+0002, 0.00000000000000E+0000,,L0994,809,808,7,-3.73195968151220E+0001,-3.73195968151220E+0001,*,808,39,-1.98803085520202E+0002, 0.00000000000000E+0000,,
L2582,808,L0984,807,806,35,-1.86651192534371E+0002,-1.86651192534371E+0002,-,L0994,809,808,9,-5.31804466565868E+0001,-5.31804466565868E+0001,*,808,46,-2.47620025204936E+0002,-2.47620025204936E+0002,-,
L2582,808,L0913,809,808,33,-1.91937692583700E+0002, 0.00000000000000E+0000,,L0994,809,808,9,-5.31804466565868E+0001,-5.31804466565868E+0001,*,808,44,-2.56479519603139E+0002, 0.00000000000000E+0000,,
L2583,809,L0886,809,809,31,-1.68378360928348E+0002,-1.68378360928348E+0002,-,L0994,809,809,9,-4.89005741887800E+0001,-4.89005741887800E+0001,*,809,41,-2.21920342142139E+0002,-2.21920342142139E+0002,-,
L2583,809,L0994,809,809,9,-4.89005741887800E+0001,-4.89005741887800E+0001,*,L1671,789,789,38,-2.10636385221079E+0002, 0.00000000000000E+0000,,809,48,-2.66225173019168E+0002, 0.00000000000000E+0000,,
L2571,809,L0994,809,809,12,-6.91071065103206E+0001,-6.91071065103206E+0001,*,L1607,809,809,31,-1.69500722945457E+0002, 0.00000000000000E+0000,,809,43,-2.35519270764969E+0002,-2.35519270764969E+0002,-,
L2571,809,L0913,809,809,30,-1.66136575660241E+0002,-1.66136575660241E+0002,-,L0994,809,809,12,-6.91071065103206E+0001,-6.91071065103206E+0001,*,809,43,-2.42928043604364E+0002, 0.00000000000000E+0000,,
L2383,805,L0994,809,805,14,-8.49050517160140E+0001,-8.49050517160140E+0001,*,L1607,809,805,24,-1.28606325368167E+0002,-1.28606325368167E+0002,*,805,39,-2.19983236723119E+0002,-2.19983236723119E+0002,-,
