fish_id,color,fin_id,recap,size,tag_id,dive_num,obs_time,collector,gps,depth_m,depth_ft,anemspp,anemdia,oldanemid,anem_id,anemsampleid,spp,notes,anem_table_id,dive_table_id
101.3,YR,73,NA,5.8,NA,5,14:59:00,MRS,3,4.4,NA,HECR,30,NA,2014,NA,APCL,"Fish sizes based on Michelle's notes when she saw it first (10,10,7,5,3) and the fish we caught there (10.2, 9.6, 5.8, 4.2).",6905,289
101.4,YR,71,NA,4.2,NA,5,14:59:00,MRS,3,4.4,NA,HECR,30,NA,2014,NA,APCL,"Fish sizes based on Michelle's notes when she saw it first (10,10,7,5,3) and the fish we caught there (10.2, 9.6, 5.8, 4.2).",6905,289
101.5,NA,NA,NA,3,NA,5,14:59:00,MRS,3,4.4,NA,HECR,30,NA,2014,NA,APCL,"Fish sizes based on Michelle's notes when she saw it first (10,10,7,5,3) and the fish we caught there (10.2, 9.6, 5.8, 4.2).",6905,289
102.1,YR,63,NA,4.5,NA,5,15:10:00,MRS,3,3,NA,HECR,30,NA,945,NA,APCL,NA,6906,289
102.2,NA,NA,NA,6.5,NA,5,15:10:00,MRS,3,3,NA,HECR,30,NA,945,NA,APCL,NA,6906,289
103.1,NA,NA,NA,5,NA,5,15:13:00,MRS,3,3,NA,HECR,30,NA,2013,NA,APCL,NA,6907,289
103.2,NA,NA,NA,3,NA,5,15:13:00,MRS,3,3,NA,HECR,30,NA,2013,NA,APCL,NA,6907,289
104.1,NA,NA,NA,7,NA,5,15:19:00,MRS,3,4.4,NA,HECR,30,NA,484,NA,APPE,NA,6908,289
104.2,NA,NA,NA,5,NA,5,15:19:00,MRS,3,4.4,NA,HECR,30,NA,484,NA,APPE,NA,6908,289
105.1,O,65,NA,11,NA,5,15:24:00,MRS,3,3,NA,HECR,30,960,2201,NA,APCL,MRS and MLP guessed that the 5.1 is #66 because a tube exists and no other fish was #66.,6909,289
105.2,YR,66,NA,5.1,NA,5,15:24:00,MRS,3,3,NA,HECR,30,960,2201,NA,APCL,MRS and MLP guessed that the 5.1 is #66 because a tube exists and no other fish was #66.,6909,289
105.3,YP,67,NA,11,NA,5,15:24:00,MRS,3,3,NA,HECR,30,960,2201,NA,APCL,MRS and MLP guessed that the 5.1 is #66 because a tube exists and no other fish was #66.,6909,289
105.4,W,NA,NA,2,NA,5,15:24:00,MRS,3,3,NA,HECR,30,960,2201,NA,APCL,MRS and MLP guessed that the 5.1 is #66 because a tube exists and no other fish was #66.,6909,289
105.5,W,NA,NA,2,NA,5,15:24:00,MRS,3,3,NA,HECR,30,960,2201,NA,APCL,MRS and MLP guessed that the 5.1 is #66 because a tube exists and no other fish was #66.,6909,289
107.1,O,68,NA,10.5,NA,5,15:35:00,MRS,3,4.1,NA,HECR,10,NA,2202,NA,APCL,The small APCL got away,6911,289
107.2,O,69,NA,8.6,NA,5,15:35:00,MRS,3,4.1,NA,HECR,10,NA,2202,NA,APCL,The small APCL got away,6911,289
107.3,NA,NA,NA,3,NA,5,15:35:00,MRS,3,4.1,NA,HECR,10,NA,2202,NA,APCL,The small APCL got away,6911,289
109.1,NA,NA,NA,5,NA,6,11:27:00,MRS,3,3.1,NA,MADO,25,128,2206,NA,APCL,NA,6914,290
109.2,YR,78,NA,4.4,NA,6,11:27:00,MRS,3,3.1,NA,MADO,25,128,2206,NA,APCL,NA,6914,290
