fish_table_id,anem_table_id,fish_spp,size,fin_id,sample_id,color,gen_id,recap,tag_id,fish_obs_time,notes,collector,correction,corr_date,corr_editor,corr_message
7965,7731,APCL,3.8,529,APCL16_529,W,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7453,7174,APCL,9.3,220,APCL16_220,YP,NA,N,985153000406441,NA,NA,MRS,NA,NA,NA,NA
7458,7181,APCL,5.8,222,APCL16_222,YR,NA,N,985153000400302,NA,NA,MRS,NA,NA,NA,NA
7979,7747,APCL,8,536,APCL16_536,O,NA,N,985153000403031,NA,NA,MRS,NA,NA,NA,NA
7466,7190,APCL,9,224,APCL16_224,YP,NA,N,985153000400774,NA,NA,MRS,NA,NA,NA,NA
6957,6885,APCL,10.3,52,APCL16_052,YP,NA,NA,NA,NA,Two small fish sizes highly estimated.,MRS,NA,NA,NA,NA
7995,7763,APCL,6,554,APCL16_554,O,NA,N,985153000355459,NA,NA,MRS,NA,NA,NA,NA
6965,6887,APCL,10.3,56,APCL16_056,O,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7486,7212,APCL,8.2,233,APCL16_233,YP,NA,N,985153000404490,NA,NA,MRS,NA,NA,NA,NA
7494,7217,APCL,7.2,237,APCL16_237,YP,NA,N,985153000407448,NA,NA,MRS,NA,NA,NA,NA
6981,6897,APCL,7.5,59,APCL16_059,O,NA,NA,NA,NA,NA,MRS,NA,NA,NA,NA
7502,7222,APCL,8.6,241,APCL16_241,O,NA,N,985153000406699,NA,NA,MRS,NA,NA,NA,NA
6989,6902,APCL,6.3,61,APCL16_061,YR,NA,NA,NA,NA,"Fish sizes based on Michelle's notes when she saw it first (7,3) and the fish we caught there (7.5, 6.9, and one small one that got away). This anemone also observed at 15:05",MRS,NA,NA,NA,NA
