Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL_13009L0459,910,APCL_14185L0914_APCL14_183,1012,910,9,-5.98938349077622E+0001,-5.98938349077622E+0001,*,APCL_14204L0994_APCL14_202,1012,910,14,-1.05542701693138E+0002, 0.00000000000000E+0000,,910,26,-1.93590013758795E+0002, 0.00000000000000E+0000,,
APCL_13010L0460,887,APCL_14157L0715_APCL14_155,1012,887,13,-8.71415967308274E+0001, 0.00000000000000E+0000,,APCL_14204L0994_APCL14_202,1012,887,10,-7.45900255674877E+0001,-7.45900255674877E+0001,*,887,26,-1.86342540854880E+0002,-1.86342540854880E+0002,-,
APCL_13010L0460,887,APCL_14157L0715_APCL14_155,1012,887,13,-8.71415967308274E+0001, 0.00000000000000E+0000,,APCL_14168L0912_APCL14_166,1012,887,10,-7.82094558794266E+0001, 0.00000000000000E+0000,,887,25,-1.91331350983686E+0002, 0.00000000000000E+0000,,
APCL_13011L0462,812,APCL_13245L0278,1012,812,8, 6.17693930680036E+0001, 6.17693930680036E+0001,*,APCL_14168L0912_APCL14_166,1012,812,8,-6.74110667334428E+0001, 0.00000000000000E+0000,,812,26,-4.79784460222088E+0001,-4.79784460222088E+0001,*,
APCL_13011L0462,812,APCL_13245L0278,1012,812,8, 6.17693930680036E+0001, 6.17693930680036E+0001,*,APCL_14204L0994_APCL14_202,1012,812,7,-7.42464626395123E+0001, 0.00000000000000E+0000,,812,29,-6.47032422070215E+0001, 0.00000000000000E+0000,,
APCL_13012L0461,846,APCL_13245L0278,1012,846,15, 1.76541990105889E+0001, 1.76541990105889E+0001,*,APCL_14158L0909_APCL14_156,1012,846,3,-4.23785845405497E+0001,-4.23785845405497E+0001,*,846,27,-7.42515701954805E+0001,-7.42515701954805E+0001,*,
APCL_13012L0461,846,APCL_13245L0278,1012,846,15, 1.76541990105889E+0001, 1.76541990105889E+0001,*,APCL_14163L1292_APCL14_161,1012,846,11,-9.71957841644235E+0001, 0.00000000000000E+0000,,846,37,-1.25963528800037E+0002, 0.00000000000000E+0000,,
APCL_13013L0463,871,APCL_14157L0715_APCL14_155,1012,871,13,-9.45065358987980E+0001, 0.00000000000000E+0000,,APCL_14159L0781_APCL14_157,1012,871,9,-7.11226939669306E+0001,-7.11226939669306E+0001,*,871,27,-2.07340216623655E+0002,-2.07340216623655E+0002,-,
APCL_13013L0463,871,APCL_14159L0781_APCL14_157,1012,871,9,-7.11226939669306E+0001,-7.11226939669306E+0001,*,APCL_14185L0914_APCL14_183,1012,871,10,-8.35259282393061E+0001,-8.35259282393061E+0001,*,871,28,-2.10527493710971E+0002, 0.00000000000000E+0000,,
APCL_13014L0464,923,APCL_14158L0909_APCL14_156,1012,923,5,-6.01898463217766E+0001,-6.01898463217766E+0001,*,APCL_14168L0912_APCL14_166,1012,923,9,-9.12079762243246E+0001,-9.12079762243246E+0001,*,923,24,-2.19238676278151E+0002,-2.19238676278151E+0002,-,
