Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2483,809,L0886,809,809,34,-1.80663659579828E+0002, 0.00000000000000E+0000,,L2572,809,809,25,-7.85488849245405E+0001,-7.85488849245405E+0001,*,809,62,-2.77400210530374E+0002, 0.00000000000000E+0000,,
L2428,809,L0886,809,809,30,-1.65158827282666E+0002, 0.00000000000000E+0000,,L1607,809,809,25,-1.45373979996327E+0002,-1.45373979996327E+0002,*,809,59,-3.29976827090247E+0002,-3.29976827090247E+0002,-,
L2428,809,L0816,809,809,31,-1.64835719131149E+0002,-1.64835719131149E+0002,-,L1607,809,809,25,-1.45373979996327E+0002,-1.45373979996327E+0002,*,809,60,-3.32403035210297E+0002, 0.00000000000000E+0000,,
L2578,809,L0886,809,809,26,-1.41190464614500E+0002,-1.41190464614500E+0002,*,L0913,809,809,28,-1.54595752225068E+0002,-1.54595752225068E+0002,-,809,58,-3.16950688383364E+0002,-3.16950688383364E+0002,-,
L2578,809,L0886,809,809,26,-1.41190464614500E+0002,-1.41190464614500E+0002,*,L1607,809,809,33,-1.84567688713776E+0002, 0.00000000000000E+0000,,809,60,-3.29451639111192E+0002, 0.00000000000000E+0000,,
L2579,809,L2512,809,809,13,-6.21129247215391E+0001,-6.21129247215391E+0001,*,L2572,809,809,0, 1.20010750726449E+0002, 1.20010750726449E+0002,*,809,21, 1.61140536153827E+0001, 1.61140536153827E+0001,*,
L2579,809,L1607,809,809,13,-6.66324568313098E+0001, 0.00000000000000E+0000,,L2572,809,809,0, 1.20010750726449E+0002, 1.20010750726449E+0002,*,809,20, 1.01516230761302E+0001, 0.00000000000000E+0000,,
L2580,808,L0886,809,808,27,-1.39733532772272E+0002,-1.39733532772272E+0002,*,L0984,807,806,30,-1.53024262504430E+0002,-1.53024262504430E+0002,-,808,60,-3.02652153703538E+0002,-3.02652153703538E+0002,-,
L2580,808,L0816,809,808,35,-1.93229307458817E+0002, 0.00000000000000E+0000,,L0886,809,808,27,-1.39733532772272E+0002,-1.39733532772272E+0002,*,808,62,-3.32451146561288E+0002, 0.00000000000000E+0000,,
L2582,808,L0913,809,808,33,-1.91850042881804E+0002,-1.91850042881804E+0002,-,L0984,807,806,35,-1.86542052357742E+0002,-1.86542052357742E+0002,-,808,70,-3.87353585460540E+0002,-3.87353585460540E+0002,-,
L2582,808,L0913,809,808,33,-1.91850042881804E+0002,-1.91850042881804E+0002,-,L1607,809,808,36,-2.13497178782801E+0002, 0.00000000000000E+0000,,808,70,-4.07330087973786E+0002, 0.00000000000000E+0000,,
L2583,809,L0886,809,809,31,-1.68412027135960E+0002,-1.68412027135960E+0002,-,L1607,809,809,40,-2.27917177691386E+0002, 0.00000000000000E+0000,,809,72,-4.00793620533108E+0002,-4.00793620533108E+0002,-,
L2583,809,L0886,809,809,31,-1.68412027135960E+0002,-1.68412027135960E+0002,-,L0913,809,809,41,-2.38314222971307E+0002, 0.00000000000000E+0000,,809,71,-4.01284113701004E+0002, 0.00000000000000E+0000,,
L2571,809,L0786,808,808,34,-1.74981897611568E+0002, 0.00000000000000E+0000,,L0913,809,809,30,-1.65913576034421E+0002,-1.65913576034421E+0002,-,809,65,-3.44197914026542E+0002,-3.44197914026542E+0002,-,
L2571,809,L0913,809,809,30,-1.65913576034421E+0002,-1.65913576034421E+0002,-,L1607,809,809,31,-1.69269630691076E+0002,-1.69269630691076E+0002,-,809,64,-3.50769859668771E+0002, 0.00000000000000E+0000,,
L2383,805,L0731,768,765,35,-1.89804408074520E+0002, 0.00000000000000E+0000,,L1607,809,805,24,-1.28764064474730E+0002,-1.28764064474730E+0002,*,805,62,-3.33333562527720E+0002,-3.33333562527720E+0002,-,
L2383,805,L0886,809,805,30,-1.73978544485777E+0002,-1.73978544485777E+0002,-,L1607,809,805,24,-1.28764064474730E+0002,-1.28764064474730E+0002,*,805,62,-3.42527409564871E+0002, 0.00000000000000E+0000,,
L2574,802,L0886,809,802,26,-1.50478788670143E+0002,-1.50478788670143E+0002,-,L1607,809,802,25,-1.35214631477568E+0002,-1.35214631477568E+0002,*,802,58,-3.17857428974269E+0002,-3.17857428974269E+0002,-,
L2574,802,L0913,809,802,31,-1.72471726158745E+0002, 0.00000000000000E+0000,,L1607,809,802,25,-1.35214631477568E+0002,-1.35214631477568E+0002,*,802,60,-3.30396797900427E+0002, 0.00000000000000E+0000,,
L2429,809,L0816,809,809,29,-1.46257851682811E+0002,-1.46257851682811E+0002,*,L0913,809,809,30,-1.64688458227596E+0002,-1.64688458227596E+0002,-,809,63,-3.33269930821579E+0002,-3.33269930821579E+0002,-,
L2429,809,L0913,809,809,30,-1.64688458227596E+0002,-1.64688458227596E+0002,-,L2500,710,710,41,-2.24045562825707E+0002, 0.00000000000000E+0000,,809,69,-3.78551286350809E+0002, 0.00000000000000E+0000,,
L2281,790,L0913,809,790,16,-7.17051711494615E+0001,-7.17051711494615E+0001,*,L1607,809,790,31,-1.65044437503214E+0002, 0.00000000000000E+0000,,790,47,-2.36907771183711E+0002,-2.36907771183711E+0002,-,
